meso,block,treatment_n,nutrients.P1,pesticides.P1,nutrients.P2,pesticides.P2
1,1,6,no,no,no,yes
2,1,9,yes,no,no,yes
3,1,8,no,yes,yes,no
4,1,10,yes,yes,yes,yes
5,1,12,no,yes,yes,yes
6,1,15,yes,yes,no,yes
7,1,1,no,no,no,no
8,1,11,yes,no,yes,yes
9,1,3,yes,no,yes,no
10,1,14,yes,yes,yes,no
11,1,4,no,yes,no,no
12,1,2,no,yes,no,yes
13,1,16,yes,yes,no,no
14,1,5,yes,no,no,no
15,1,13,no,no,yes,yes
16,1,7,no,no,yes,no
17,2,1,no,no,no,no
18,2,13,no,no,yes,yes
19,2,6,no,no,no,yes
20,2,2,no,yes,no,yes
21,2,16,yes,yes,no,no
22,2,12,no,yes,yes,yes
23,2,4,no,yes,no,no
24,2,5,yes,no,no,no
25,2,8,no,yes,yes,no
26,2,3,yes,no,yes,no
27,2,14,yes,yes,yes,no
28,2,7,no,no,yes,no
29,2,9,yes,no,no,yes
30,2,11,yes,no,yes,yes
31,2,10,yes,yes,yes,yes
32,2,15,yes,yes,no,yes
33,3,15,yes,yes,no,yes
34,3,9,yes,no,no,yes
35,3,11,yes,no,yes,yes
36,3,4,no,yes,no,no
37,3,1,no,no,no,no
38,3,10,yes,yes,yes,yes
39,3,12,no,yes,yes,yes
40,3,6,no,no,no,yes
41,3,7,no,no,yes,no
42,3,14,yes,yes,yes,no
43,3,5,yes,no,no,no
44,3,8,no,yes,yes,no
45,3,2,no,yes,no,yes
46,3,3,yes,no,yes,no
47,3,13,no,no,yes,yes
48,3,16,yes,yes,no,no
49,4,5,yes,no,no,no
50,4,14,yes,yes,yes,no
51,4,11,yes,no,yes,yes
52,4,3,yes,no,yes,no
53,4,10,yes,yes,yes,yes
54,4,13,no,no,yes,yes
55,4,7,no,no,yes,no
56,4,2,no,yes,no,yes
57,4,9,yes,no,no,yes
58,4,1,no,no,no,no
59,4,15,yes,yes,no,yes
60,4,12,no,yes,yes,yes
61,4,8,no,yes,yes,no
62,4,4,no,yes,no,no
63,4,16,yes,yes,no,no
64,4,6,no,no,no,yes
65,5,1,no,no,no,no
66,5,3,yes,no,yes,no
67,5,10,yes,yes,yes,yes
68,5,5,yes,no,no,no
69,5,12,no,yes,yes,yes
70,5,16,yes,yes,no,no
71,5,4,no,yes,no,no
72,5,14,yes,yes,yes,no
73,5,7,no,no,yes,no
74,5,13,no,no,yes,yes
75,5,11,yes,no,yes,yes
76,5,6,no,no,no,yes
77,5,2,no,yes,no,yes
78,5,9,yes,no,no,yes
79,5,8,no,yes,yes,no
80,5,15,yes,yes,no,yes
81,6,16,yes,yes,no,no
82,6,6,no,no,no,yes
83,6,9,yes,no,no,yes
84,6,7,no,no,yes,no
85,6,13,no,no,yes,yes
86,6,8,no,yes,yes,no
87,6,12,no,yes,yes,yes
88,6,4,no,yes,no,no
89,6,15,yes,yes,no,yes
90,6,2,no,yes,no,yes
91,6,5,yes,no,no,no
92,6,11,yes,no,yes,yes
93,6,10,yes,yes,yes,yes
94,6,1,no,no,no,no
95,6,3,yes,no,yes,no
96,6,14,yes,yes,yes,no
97,7,4,no,yes,no,no
98,7,5,yes,no,no,no
99,7,1,no,no,no,no
100,7,6,no,no,no,yes
101,7,8,no,yes,yes,no
102,7,2,no,yes,no,yes
103,7,10,yes,yes,yes,yes
104,7,9,yes,no,no,yes
105,7,14,yes,yes,yes,no
106,7,15,yes,yes,no,yes
107,7,16,yes,yes,no,no
108,7,12,no,yes,yes,yes
109,7,11,yes,no,yes,yes
110,7,7,no,no,yes,no
111,7,3,yes,no,yes,no
112,7,13,no,no,yes,yes
113,8,13,no,no,yes,yes
114,8,10,yes,yes,yes,yes
115,8,5,yes,no,no,no
116,8,16,yes,yes,no,no
117,8,15,yes,yes,no,yes
118,8,6,no,no,no,yes
119,8,3,yes,no,yes,no
120,8,4,no,yes,no,no
121,8,12,no,yes,yes,yes
122,8,11,yes,no,yes,yes
123,8,1,no,no,no,no
124,8,9,yes,no,no,yes
125,8,8,no,yes,yes,no
126,8,14,yes,yes,yes,no
127,8,7,no,no,yes,no
128,8,2,no,yes,no,yes
