Date,Mesocosm,Species,Mag,P.Length,P.Width,C.Length (um),C.Width (um),,,,,
13/05/2022,119,Simo,55,5.8,3.9,1044,702,10x,20x,30x,40x,55x
13/05/2022,123,N/A,,,,,,10egu=9.9mm, 9.9egu= 5mm ,3egu= 1mm,2egu= 0.5mm,5.5egu= 1mm
13/05/2022,124,N/A,,,,,,1egu=0.99mm=999.9um ,1egu= 0.51mm= 510um ,1egu=0.33mm=330um,1egu= 0.25mm= 250um,1egu= 0.18mm= 180um
13/05/2022,120,Scap,55,1.8,0.9,324,162,,,,,
13/05/2022,116,N/A,,,,,,,,,,
13/05/2022,113,N/A,,,,,,,,,,
13/05/2022,118,Ephippia ,55,6.4,3.1,1152,558,,,,,
13/05/2022,127,N/A,,,,,,,,,,
13/05/2022,115,N/A,,,,,,,,,,
13/05/2022,122,N/A,,,,,,,,,,
13/05/2022,128,Daphnia,30,6,3.6,1980,1188,,,,,
13/05/2022,125,N/A,,,,,,,,,,
13/05/2022,121,N/A,,,,,,,,,,
13/05/2022,117,N/A,,,,,,,,,,
13/05/2022,126,N/A,,,,,,,,,,
13/05/2022,114,N/A,,,,,,,,,,
13/05/2022,74,N/A,,,,,,,,,,
13/05/2022,65,N/A,,,,,,,,,,
13/05/2022,73,N/A,,,,,,,,,,
13/05/2022,66,Ephippia ,55,4.3,2.9,774,522,,,,,
13/05/2022,76,N/A,,,,,,,,,,
13/05/2022,68,N/A,,,,,,,,,,
13/05/2022,72,N/A,,,,,,,,,,
13/05/2022,67,Simo,55,5,2.9,900,522,,,,,
13/05/2022,69,N/A,,,,,,,,,,
13/05/2022,70,N/A,,,,,,,,,,
13/05/2022,79,N/A,,,,,,,,,,
13/05/2022,75,N/A,,,,,,,,,,
13/05/2022,71,Ephippia ,55,4.1,2.4,738,432,,,,,
13/05/2022,71,Ephippia ,55,4.3,2.8,774,504,,,,,
13/05/2022,78,Daphnia,55,8.8,3.8,1584,684,,,,,
13/05/2022,77,N/A,,,,,,,,,,
13/05/2022,80,N/A,,,,,,,,,,
13/05/2022,40,N/A,,,,,,,,,,
13/05/2022,41,N/A,,,,,,,,,,
13/05/2022,37,N/A,,,,,,,,,,
13/05/2022,34,N/A,,,,,,,,,,
13/05/2022,35,N/A,,,,,,,,,,
13/05/2022,42,N/A,,,,,,,,,,
13/05/2022,47,N/A,,,,,,,,,,
13/05/2022,43,N/A,,,,,,,,,,
13/05/2022,38,Simo,40,7.6,5.4,1900,1350,,,,,
13/05/2022,46,Ephippia ,55,3.7,2.4,666,432,,,,,
13/05/2022,33,N/A,,,,,,,,,,
13/05/2022,39,N/A,,,,,,,,,,
13/05/2022,48,Simo,55,9.1,7.2,1638,1296,,,,,
13/05/2022,36,Simo,55,9,6.6,1620,1188,,,,,
13/05/2022,36,Simo,30,7.3,4.3,2409,1419,,,,,
13/05/2022,45,N/A,,,,,,,,,,
13/05/2022,44,Daphnia,40,9,4.3,2250,1075,,,,,
13/05/2022,49,Daphnia,55,9.1,4.6,1638,828,,,,,
13/05/2022,49,Daphnia,55,9,3.5,1620,630,,,,,
13/05/2022,49,Daphnia,40,7.6,3.2,1900,800,,,,,
13/05/2022,58,N/A,,,,,,,,,,
13/05/2022,50,N/A,,,,,,,,,,
13/05/2022,53,N/A,,,,,,,,,,
13/05/2022,51,N/A,,,,,,,,,,
13/05/2022,55,N/A,,,,,,,,,,
13/05/2022,61,Scap,55,4,1.9,720,342,,,,,
13/05/2022,63,N/A,,,,,,,,,,
13/05/2022,52,Ephippia ,55,2.4,1.6,360,288,,,,,
13/05/2022,62,N/A,,,,,,,,,,
13/05/2022,60,N/A,,,,,,,,,,
13/05/2022,54,N/A,,,,,,,,,,
13/05/2022,57,N/A,,,,,,,,,,
13/05/2022,64,N/A,,,,,,,,,,
13/05/2022,59,N/A,,,,,,,,,,
13/05/2022,56,N/A,,,,,,,,,,
27/05/2022,101,N/A,,,,,,,,,,
27/05/2022,97,N/A,,,,,,,,,,
27/05/2022,99,N/A,,,,,,,,,,
27/05/2022,105,N/A,,,,,,,,,,
27/05/2022,110,Scap,55,3,1.6,540,288,,,,,
27/05/2022,98,N/A,,,,,,,,,,
27/05/2022,107,Daphnia,40,9.7,7.1,2425,1775,,,,,
27/05/2022,109,N/A,,,,,,,,,,
27/05/2022,103,N/A,,,,,,,,,,
27/05/2022,111,N/A,,,,,,,,,,
27/05/2022,102,N/A,,,,,,,,,,
27/05/2022,108,N/A,,,,,,,,,,
27/05/2022,104,Daphnia,40,8,3.6,2000,900,,,,,
27/05/2022,112,N/A,,,,,,,,,,
27/05/2022,106,N/A,,,,,,,,,,
27/05/2022,100,N/A,,,,,,,,,,
27/05/2022,23,Ephippia ,55,4,3.3,720,594,,,,,
27/05/2022,17,N/A,,,,,,,,,,
27/05/2022,21,N/A,,,,,,,,,,
27/05/2022,25,N/A,,,,,,,,,,
27/05/2022,24,N/A,,,,,,,,,,
27/05/2022,19,N/A,,,,,,,,,,
27/05/2022,28,N/A,,,,,,,,,,
27/05/2022,32,Simo,40,7.9,5.7,1975,1415,,,,,
27/05/2022,22,N/A,,,,,,,,,,
27/05/2022,20,N/A,,,,,,,,,,
27/05/2022,26,N/A,,,,,,,,,,
27/05/2022,18,N/A,,,,,,,,,,
27/05/2022,27,N/A,,,,,,,,,,
27/05/2022,29,N/A,,,,,,,,,,
27/05/2022,30,Daphnia,40,7.1,3.3,1775,825,,,,,
27/05/2022,31,Scap,55,4.5,2.5,810,450,,,,,
27/05/2022,81,N/A,,,,,,,,,,
27/05/2022,88,N/A,,,,,,,,,,
27/05/2022,91,N/A,,,,,,,,,,
27/05/2022,84,N/A,,,,,,,,,,
27/05/2022,86,N/A,,,,,,,,,,
27/05/2022,96,N/A,,,,,,,,,,
27/05/2022,94,N/A,,,,,,,,,,
27/05/2022,95,N/A,,,,,,,,,,
27/05/2022,85,N/A,,,,,,,,,,
27/05/2022,92,N/A,,,,,,,,,,
27/05/2022,82,N/A,,,,,,,,,,
27/05/2022,93,N/A,,,,,,,,,,
27/05/2022,87,N/A,,,,,,,,,,
27/05/2022,83,N/A,,,,,,,,,,
27/05/2022,89,N/A,,,,,,,,,,
27/05/2022,90,Scap,55,4.4,2.5,792,450,,,,,
27/05/2022,70,N/A,,,,,,,,,,
27/05/2022,68,Scap,55,2.5,1.2,450,216,,,,,
27/05/2022,65,N/A,,,,,,,,,,
27/05/2022,66,N/A,,,,,,,,,,
27/05/2022,71,N/A,,,,,,,,,,
27/05/2022,73,N/A,,,,,,,,,,
27/05/2022,72,N/A,,,,,,,,,,
27/05/2022,79,N/A,,,,,,,,,,
27/05/2022,67,N/A,,,,,,,,,,
27/05/2022,76,Scap,55,3.3,1.6,594,288,,,,,
27/05/2022,69,N/A,,,,,,,,,,
27/05/2022,74,N/A,,,,,,,,,,
27/05/2022,77,N/A,,,,,,,,,,
27/05/2022,75,N/A,,,,,,,,,,
27/05/2022,80,N/A,,,,,,,,,,
27/05/2022,78,N/A,,,,,,,,,,
27/05/2022,13,Simo,55,8.9,5.8,1602,1044,,,,,
27/05/2022,7,N/A,,,,,,,,,,
27/05/2022,11,N/A,,,,,,,,,,
27/05/2022,16,N/A,,,,,,,,,,
27/05/2022,6,N/A,,,,,,,,,,
27/05/2022,2,N/A,,,,,,,,,,
27/05/2022,9,N/A,,,,,,,,,,
27/05/2022,10,N/A,,,,,,,,,,
27/05/2022,3,N/A,,,,,,,,,,
27/05/2022,14,Scap,55,6.3,3.5,1134,630,,,,,
27/05/2022,14,Scap,55,3.2,1.3,576,234,,,,,
27/05/2022,1,Ephippia ,55,2.4,1.6,432,288,,,,,
27/05/2022,8,N/A,,,,,,,,,,
27/05/2022,4,N/A,,,,,,,,,,
27/05/2022,5,N/A,,,,,,,,,,
27/05/2022,15,N/A,,,,,,,,,,
27/05/2022,12,N/A,,,,,,,,,,
13/05/2022,86,Empty,,,,,,,,,,
13/05/2022,94,N/A,,,,,,,,,,
13/05/2022,85,N/A,,,,,,,,,,
13/05/2022,81,N/A,,,,,,,,,,
13/05/2022,93,N/A,,,,,,,,,,
13/05/2022,83,Daphnia,40,6.8,3,1700,750,,,,,
13/05/2022,91,N/A,,,,,,,,,,
13/05/2022,96,N/A,,,,,,,,,,
13/05/2022,92,N/A,,,,,,,,,,
13/05/2022,95,N/A,,,,,,,,,,
13/05/2022,89,N/A,,,,,,,,,,
13/05/2022,87,N/A,,,,,,,,,,
13/05/2022,82,N/A,,,,,,,,,,
13/05/2022,86,N/A,,,,,,,,,,
13/05/2022,88,N/A,,,,,,,,,,
13/05/2022,90,N/A,,,,,,,,,,
27/05/2022,39,N/A,,,,,,,,,,
27/05/2022,35,Ephippia ,55,3.7,2.7,666,486,,,,,
27/05/2022,38,N/A,,,,,,,,,,
27/05/2022,33,N/A,,,,,,,,,,
27/05/2022,47,N/A,,,,,,,,,,
27/05/2022,40,N/A,,,,,,,,,,
27/05/2022,36,N/A,,,,,,,,,,
27/05/2022,37,N/A,,,,,,,,,,
27/05/2022,45,N/A,,,,,,,,,,
27/05/2022,34,N/A,,,,,,,,,,
27/05/2022,43,N/A,,,,,,,,,,
27/05/2022,41,Ephippia ,55,6.3,3,1134,540,,,,,
27/05/2022,48,N/A,,,,,,,,,,
27/05/2022,42,N/A,,,,,,,,,,
27/05/2022,46,N/A,,,,,,,,,,
27/05/2022,44,N/A,,,,,,,,,,
27/05/2022,116,N/A,,,,,,,,,,
27/05/2022,127,N/A,,,,,,,,,,
27/05/2022,115,N/A,,,,,,,,,,
27/05/2022,123,N/A,,,,,,,,,,
27/05/2022,126,N/A,,,,,,,,,,
27/05/2022,113,N/A,,,,,,,,,,
27/05/2022,120,N/A,,,,,,,,,,
27/05/2022,119,Ephippia ,55,2.8,2.2,504,396,,,,,
27/05/2022,114,N/A,,,,,,,,,,
27/05/2022,125,Scap,55,4.2,1.9,756,342,,,,,
27/05/2022,125,Scap,55,3.4,1.7,612,306,,,,,
27/05/2022,125,Scap,55,3.3,1.5,594,270,,,,,
27/05/2022,128,Daphnia,55,3,4.2,540,756,,,,,
27/05/2022,118,N/A,,,,,,,,,,
27/05/2022,121,Scap,55,3,1.7,540,306,,,,,
27/05/2022,124,N/A,,,,,,,,,,
27/05/2022,117,N/A,,,,,,,,,,
27/05/2022,122,N/A,,,,,,,,,,
13/05/2022,54,N/A,,,,,,,,,,
13/05/2022,58,N/A,,,,,,,,,,
13/05/2022,49,N/A,,,,,,,,,,
13/05/2022,57,N/A,,,,,,,,,,
13/05/2022,51,N/A,,,,,,,,,,
13/05/2022,63,N/A,,,,,,,,,,
13/05/2022,64,N/A,,,,,,,,,,
13/05/2022,50,N/A,,,,,,,,,,
13/05/2022,55,Scap,55,4.8,2.4,864,432,,,,,
13/05/2022,52,N/A,,,,,,,,,,
13/05/2022,62,N/A,,,,,,,,,,
13/05/2022,56,Daphnia,55,2.9,2.3,522,414,,,,,
13/05/2022,53,N/A,,,,,,,,,,
13/05/2022,60,N/A,,,,,,,,,,
13/05/2022,61,N/A,,,,,,,,,,
13/05/2022,59,N/A,,,,,,,,,,
13/05/2022,10,N/A,,,,,,,,,,
13/05/2022,4,N/A,,,,,,,,,,
13/05/2022,1,Daphnia,40,6,3.7,1500,925,,,,,
13/05/2022,1,Daphnia,40,8.6,4.1,2150,1025,,,,,
13/05/2022,1,Daphnia,55,9.5,4.4,1710,792,,,,,
13/05/2022,1,Daphnia,40,8.9,4.9,2225,1225,,,,,
13/05/2022,1,Daphnia,40,9.6,5.2,2400,1300,,,,,
13/05/2022,1,Daphnia,55,8.5,3.8,1530,684,,,,,
13/05/2022,1,Daphnia,40,7.4,3.5,1850,875,,,,,
13/05/2022,1,Daphnia,55,9.6,4.1,1728,738,,,,,
13/05/2022,1,Daphnia,40,4.7,3.1,1175,775,,,,,
13/05/2022,1,Daphnia,40,7.8,3.4,1950,850,,,,,
13/05/2022,1,Daphnia,40,8.2,3.9,2050,975,,,,,
13/05/2022,1,Daphnia,40,4.8,3.6,1200,900,,,,,
13/05/2022,1,Daphnia,55,9.5,4.4,1710,792,,,,,
13/05/2022,1,Daphnia,40,7.8,3.8,1950,950,,,,,
