Mesocosm,Date,Volume_L
1,10/05/22,29.30247702
9,10/05/22,24.67493264
17,10/05/22,27.62349642
24,10/05/22,26.23269371
45,10/05/22,26.57470084
59,10/05/22,26.1828549
67,10/05/22,26.32438384
93,10/05/22,29.23034566
112,10/05/22,26.30635876
117,10/05/22,26.01523345
1,17/05/22,31.6418636
9,17/05/22,28.94512675
17,17/05/22,31.95130026
24,17/05/22,31.87012799
45,17/05/22,32.14478094
59,17/05/22,28.50618342
67,17/05/22,30.42804075
93,17/05/22,34.08180509
112,17/05/22,31.43045247
117,17/05/22,33.20970368
1,23/05/22,28.12859854
9,23/05/22,26.13867448
17,23/05/22,29.47106234
24,23/05/22,29.65110545
45,23/05/22,29.22368391
59,23/05/22,27.60913384
67,23/05/22,28.28740723
93,23/05/22,31.70982704
112,23/05/22,29.08182137
117,23/05/22,29.65193718
38,23/05/22,31.04266056
51,23/05/22,29.93149259
75,23/05/22,29.15028944
86,23/05/22,30.00179554
103,23/05/22,28.70728462
126,23/05/22,30.98984411
1,26/05/22,27.77485992
9,26/05/22,25.85761347
17,26/05/22,28.42021177
24,26/05/22,28.50618342
45,26/05/22,28.43027292
59,26/05/22,27.7396733
67,26/05/22,27.65099792
93,26/05/22,31.35162206
112,26/05/22,26.93834333
117,26/05/22,28.70728462
38,26/05/22,30.34663678
51,26/05/22,29.22368391
75,26/05/22,29.01343381
86,26/05/22,30.78818527
103,26/05/22,28.70728462
126,26/05/22,29.44168099
1,31/05/22,30.26898977
9,31/05/22,28.79124525
17,31/05/22,30.2131992
24,31/05/22,29.93149259
45,31/05/22,30.06932683
59,31/05/22,28.3636525
67,31/05/22,28.97651911
93,31/05/22,33.57343787
112,31/05/22,30.14466124
117,31/05/22,30.49827989
38,31/05/22,31.47004047
51,31/05/22,30.78868871
75,31/05/22,31.14104091
86,31/05/22,31.43750182
103,31/05/22,29.63181999
126,31/05/22,30.91671176
1,15/06/22,26.38611692
9,15/06/22,23.18753382
17,15/06/22,26.55423827
24,15/06/22,25.37050324
45,15/06/22,24.85863059
59,15/06/22,24.05992072
67,15/06/22,23.51760132
93,15/06/22,27.80505848
112,15/06/22,24.80037958
117,15/06/22,25.69301973
1,21/07/22,26.38611692
9,21/07/22,24.5928389
17,21/07/22,27.27192039
24,21/07/22,24.94291049
45,21/07/22,27.14448168
59,21/07/22,25.47521017
67,21/07/22,26.36821966
93,21/07/22,28.37250865
112,21/07/22,27.08087425
117,21/07/22,26.55423827
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
