Particle ID,Class,Length,Width
1,2x_naupli,151.1264,121.9936
1,2x_alona_abun,406.0384,260.3744
2,2x_alona_abun,384.1888,260.3744
3,2x_alona_abun,398.7552,260.3744
1,2x_scapholeberis,857.5968,526.2112
2,2x_scapholeberis,853.9552,537.1360
1,2x_nauplii_abun,231.2416,89.2192
1,2x_scapholeberis_abun,657.3088,282.2240
2,2x_scapholeberis_abun,795.6896,475.2288
3,2x_scapholeberis_abun,646.3840,380.5472
4,2x_scapholeberis_abun,577.1936,376.9056
5,2x_scapholeberis_abun,901.2960,657.3088
6,2x_scapholeberis_abun,762.9152,504.3616
