Particle ID,Class,Length,Width
1,2x_naupli,238.5248,162.0512
1,2x_scapholeberis,901.296,515.2864
2,2x_scapholeberis,890.3712,529.8528
3,2x_scapholeberis,719.216,566.2688
1,2x_nauplii_abundance,293.1488,216.6752
1,2x_scapholeberis_abundance,901.296,518.928
2,2x_scapholeberis_abundance,751.9904,566.2688
3,2x_scapholeberis_abundance,872.1632,431.5296
4,2x_scapholeberis_abundance,832.1056,522.5696
5,2x_scapholeberis_abundance,879.4464,529.8528
1,2x_ephippia,1243.6064,719.216
2,2x_ephippia,500.72,249.4496
