Particle ID,Class,Length,Width
1,4x_lepadella,178.8638,85.3042
2,4x_lepadella,109.1527,59.6213
3,4x_lepadella,173.3603,77.9663
4,4x_lepadella,87.1388,57.7867
5,4x_lepadella,118.3252,63.2903
6,4x_lepadella,88.9733,54.1178
7,4x_lepadella,171.5257,87.1388
8,4x_lepadella,173.3603,74.2973
1,4x_lepadella_abundance,103.6492,52.2833
2,4x_lepadella_abundance,103.6492,61.4558
3,4x_lepadella_abundance,103.6492,52.2833
4,4x_lepadella_abundance,98.1458,48.6142
1,4x_nauplii_abundance,288.9337,202.7123
2,4x_nauplii_abundance,551.2672,224.7262
3,4x_nauplii_abundance,224.7262,160.5188
