Particle ID,Class,Length,Width
1,4x_nauplii,156.8498,120.1598
1,4x_nauplii_abundance,140.3392,81.6352
2,4x_nauplii_abundance,151.3462,120.1598
3,4x_nauplii_abundance,171.5257,88.9733
4,4x_nauplii_abundance,136.6703,88.9733
5,4x_nauplii_abundance,138.5048,92.6423
6,4x_nauplii_abundance,171.5257,96.3113
7,4x_nauplii_abundance,164.1877,127.4977
8,4x_nauplii_abundance,144.0083,121.9943
9,4x_nauplii_abundance,169.6912,87.1388
10,4x_nauplii_abundance,250.4093,178.8638
11,4x_nauplii_abundance,167.8568,127.4977
12,4x_nauplii_abundance,158.6842,116.4908
13,4x_nauplii_abundance,140.3392,92.6423
14,4x_nauplii_abundance,316.4513,188.0362
15,4x_nauplii_abundance,156.8498,85.3042
16,4x_nauplii_abundance,162.3533,125.6633
17,4x_nauplii_abundance,162.3533,134.8357
18,4x_nauplii_abundance,164.1877,92.6423
19,4x_nauplii_abundance,156.8498,98.1458
20,4x_nauplii_abundance,292.6028,186.2018
21,4x_nauplii_abundance,138.5048,92.6423
22,4x_nauplii_abundance,134.8357,103.6492
23,4x_nauplii_abundance,180.6983,105.4838
24,4x_nauplii_abundance,195.3742,121.9943
25,4x_nauplii_abundance,127.4977,54.1178
26,4x_nauplii_abundance,109.1527,98.1458
27,4x_nauplii_abundance,145.8427,105.4838
