Particle ID,Class,Length,Width
1,4x_nauplii,140.3392,112.8217
2,4x_nauplii,228.3953,178.8638
3,4x_nauplii,155.0153,120.1598
4,4x_nauplii,162.3533,107.3183
5,4x_nauplii,160.5188,101.8148
6,4x_nauplii,144.0083,121.9943
7,4x_nauplii,158.6842,120.1598
8,4x_nauplii,147.6773,110.9873
1,4x_nauplii_abundance,131.1668,103.6492
2,4x_nauplii_abundance,138.5048,85.3042
3,4x_nauplii_abundance,138.5048,88.9733
4,4x_nauplii_abundance,127.4977,94.4767
5,4x_nauplii_abundance,134.8357,83.4698
6,4x_nauplii_abundance,140.3392,98.1458
7,4x_nauplii_abundance,118.3252,96.3113
8,4x_nauplii_abundance,144.0083,112.8217
9,4x_nauplii_abundance,166.0223,131.1668
10,4x_nauplii_abundance,133.0012,101.8148
11,4x_nauplii_abundance,149.5118,107.3183
12,4x_nauplii_abundance,162.3533,94.4767
13,4x_nauplii_abundance,127.4977,85.3042
14,4x_nauplii_abundance,136.6703,96.3113
15,4x_nauplii_abundance,134.8357,99.9802
16,4x_nauplii_abundance,138.5048,110.9873
1,4x_scapholeberis,553.1018,281.5958
