Particle ID,Class,Length,Width
1,4x_nauplii,197.2088,142.1738
2,4x_nauplii,164.1877,116.4908
3,4x_nauplii,237.5677,162.3533
4,4x_nauplii,334.7962,244.9058
5,4x_nauplii,195.3742,110.9873
6,4x_nauplii,189.8708,118.3252
1,4x_lepadella,107.3183,63.2903
1,4x_nauplii_abundance,182.5327,94.4767
2,4x_nauplii_abundance,166.0223,127.4977
3,4x_nauplii_abundance,210.0503,112.8217
4,4x_nauplii_abundance,142.1738,96.3113
5,4x_nauplii_abundance,153.1807,105.4838
6,4x_nauplii_abundance,617.3093,145.8427
7,4x_nauplii_abundance,131.1668,103.6492
8,4x_nauplii_abundance,164.1877,134.8357
9,4x_nauplii_abundance,222.8918,133.0012
10,4x_nauplii_abundance,197.2088,118.3252
11,4x_nauplii_abundance,191.7053,127.4977
12,4x_nauplii_abundance,430.1902,186.2018
13,4x_nauplii_abundance,155.0153,118.3252
14,4x_nauplii_abundance,189.8708,125.6633
