Particle ID,Class,Length,Width
1,4x_nauplii,164.1877,136.6703
2,4x_nauplii,173.3603,121.9943
3,4x_nauplii,169.6912,114.6563
4,4x_nauplii,155.0153,105.4838
1,4x_Chydorus,281.5958,219.2227
2,4x_Chydorus,276.0922,164.1877
3,4x_Chydorus,222.8918,177.0292
4,4x_Chydorus,279.7613,206.3812
5,4x_Chydorus,213.7192,177.0292
1,4x_alona_abundance,400.8383,309.1132
1,4x_lepadella,92.6423,65.1248
2,4x_lepadella,98.1458,59.6213
1,4x_lepadella_abundance,151.3462,72.4627
1,4x_nauplii_abundance,184.3673,144.0083
2,4x_nauplii_abundance,206.3812,123.8287
3,4x_nauplii_abundance,171.5257,107.3183
4,4x_nauplii_abundance,180.6983,103.6492
5,4x_nauplii_abundance,193.5397,118.3252
6,4x_nauplii_abundance,325.6238,155.0153
7,4x_nauplii_abundance,237.5677,145.8427
8,4x_nauplii_abundance,127.4977,107.3183
9,4x_nauplii_abundance,156.8498,107.3183
10,4x_nauplii_abundance,180.6983,107.3183
11,4x_nauplii_abundance,156.8498,125.6633
12,4x_nauplii_abundance,169.6912,109.1527
13,4x_nauplii_abundance,171.5257,110.9873
14,4x_nauplii_abundance,184.3673,85.3042
1,4x_lecane,99.9802,87.1388
