Particle ID,Class,Length,Width
1,4x_nauplii,162.3533,118.3252
2,4x_nauplii,188.0362,145.8427
3,4x_nauplii,166.0223,127.4977
4,4x_nauplii,195.3742,173.3603
5,4x_nauplii,166.0223,114.6563
1,4x_copepods_cyclopoids,617.3093,296.2717
1,4x_lepadella,99.9802,46.7797
2,4x_lepadella,98.1458,70.6282
3,4x_lepadella,99.9802,48.6142
4,4x_lepadella,101.8148,61.4558
1,4x_lepadella_abundance,103.6492,61.4558
2,4x_lepadella_abundance,103.6492,57.7867
3,4x_lepadella_abundance,103.6492,65.1248
1,4x_nauplii_abundance,272.4232,184.3673
2,4x_nauplii_abundance,123.8287,109.1527
3,4x_nauplii_abundance,182.5327,120.1598
4,4x_nauplii_abundance,321.9547,118.3252
5,4x_nauplii_abundance,177.0292,83.4698
6,4x_nauplii_abundance,145.8427,110.9873
7,4x_nauplii_abundance,125.6633,98.1458
8,4x_nauplii_abundance,162.3533,120.1598
9,4x_nauplii_abundance,136.6703,118.3252
10,4x_nauplii_abundance,250.4093,142.1738
11,4x_nauplii_abundance,158.6842,112.8217
12,4x_nauplii_abundance,248.5747,162.3533
13,4x_nauplii_abundance,134.8357,70.6282
