Particle ID,Class,Length,Width
1,4x_nauplii,301.7753,200.8777
2,4x_nauplii,180.6983,144.0083
1,4x_lepadella,112.8217,65.1248
1,4x_nauplii_abundance,263.2507,206.3812
2,4x_nauplii_abundance,156.8498,107.3183
3,4x_nauplii_abundance,175.1947,94.4767
4,4x_nauplii_abundance,136.6703,90.8077
5,4x_nauplii_abundance,138.5048,112.8217
6,4x_nauplii_abundance,177.0292,121.9943
7,4x_nauplii_abundance,151.3462,90.8077
8,4x_nauplii_abundance,171.5257,110.9873
9,4x_nauplii_abundance,120.1598,85.3042
10,4x_nauplii_abundance,162.3533,105.4838
11,4x_nauplii_abundance,182.5327,121.9943
