Particle ID,Class,Length,Width
1,4x_nauplii,268.7543,202.7123
2,4x_nauplii,206.3812,158.6842
3,4x_nauplii,182.5327,131.1668
4,4x_nauplii,266.9198,230.2297
5,4x_nauplii,254.0782,224.7262
6,4x_nauplii,243.0712,193.5397
7,4x_nauplii,250.4093,222.8918
8,4x_nauplii,169.6912,110.9873
9,4x_nauplii,180.6983,129.3322
10,4x_nauplii,255.9128,208.2158
1,4x_nauplii_abundance,222.8918,195.3742
2,4x_nauplii_abundance,166.0223,116.4908
3,4x_nauplii_abundance,173.3603,149.5118
4,4x_nauplii_abundance,167.8568,88.9733
5,4x_nauplii_abundance,241.2368,186.2018
6,4x_nauplii_abundance,261.4162,156.8498
7,4x_nauplii_abundance,241.2368,182.5327
8,4x_nauplii_abundance,243.0712,189.8708
9,4x_nauplii_abundance,259.5817,175.1947
10,4x_nauplii_abundance,248.5747,202.7123
11,4x_nauplii_abundance,166.0223,118.3252
12,4x_nauplii_abundance,213.7192,156.8498
13,4x_nauplii_abundance,298.1062,195.3742
14,4x_nauplii_abundance,327.4583,235.7332
15,4x_nauplii_abundance,279.7613,149.5118
16,4x_nauplii_abundance,156.8498,85.3042
17,4x_nauplii_abundance,184.3673,149.5118
18,4x_nauplii_abundance,476.0528,318.2858
19,4x_nauplii_abundance,263.2507,213.7192
20,4x_nauplii_abundance,219.2227,131.1668
21,4x_nauplii_abundance,215.5538,158.6842
22,4x_nauplii_abundance,169.6912,109.1527
23,4x_nauplii_abundance,213.7192,156.8498
24,4x_nauplii_abundance,268.7543,235.7332
25,4x_nauplii_abundance,162.3533,103.6492
26,4x_nauplii_abundance,243.0712,177.0292
27,4x_nauplii_abundance,166.0223,105.4838
28,4x_nauplii_abundance,164.1877,121.9943
29,4x_nauplii_abundance,248.5747,182.5327
30,4x_nauplii_abundance,206.3812,171.5257
31,4x_nauplii_abundance,169.6912,88.9733
32,4x_nauplii_abundance,384.3277,261.4162
33,4x_nauplii_abundance,312.7822,215.5538
34,4x_nauplii_abundance,158.6842,114.6563
35,4x_nauplii_abundance,204.5468,145.8427
36,4x_nauplii_abundance,257.7473,182.5327
37,4x_nauplii_abundance,160.5188,103.6492
38,4x_nauplii_abundance,272.4232,189.8708
39,4x_nauplii_abundance,230.2297,134.8357
40,4x_nauplii_abundance,156.8498,136.6703
41,4x_nauplii_abundance,195.3742,164.1877
42,4x_nauplii_abundance,186.2018,142.1738
43,4x_nauplii_abundance,200.8777,155.0153
44,4x_nauplii_abundance,362.3138,230.2297
45,4x_nauplii_abundance,235.7332,208.2158
46,4x_nauplii_abundance,162.3533,116.4908
47,4x_nauplii_abundance,213.7192,167.8568
48,4x_nauplii_abundance,281.5958,153.1807
49,4x_nauplii_abundance,257.7473,186.2018
50,4x_nauplii_abundance,320.1202,204.5468
51,4x_nauplii_abundance,386.1623,268.7543
52,4x_nauplii_abundance,232.0643,149.5118
53,4x_nauplii_abundance,257.7473,200.8777
54,4x_nauplii_abundance,162.3533,125.6633
55,4x_nauplii_abundance,182.5327,134.8357
56,4x_nauplii_abundance,167.8568,110.9873
57,4x_nauplii_abundance,305.4443,162.3533
58,4x_nauplii_abundance,169.6912,123.8287
59,4x_nauplii_abundance,241.2368,166.0223
60,4x_nauplii_abundance,155.0153,114.6563
61,4x_nauplii_abundance,160.5188,105.4838
1,4x_scapholeberis_abundance,540.2603,323.7892
