Particle ID,Class,Length,Width
1,4x_nauplii,213.7192,195.3742
2,4x_nauplii,160.5188,140.3392
3,4x_nauplii,149.5118,121.9943
4,4x_nauplii,147.6773,131.1668
5,4x_nauplii,133.0012,116.4908
6,4x_nauplii,134.8357,118.3252
7,4x_nauplii,166.0223,127.4977
8,4x_nauplii,206.3812,140.3392
9,4x_nauplii,202.7123,164.1877
10,4x_nauplii,156.8498,125.6633
11,4x_nauplii,188.0362,144.0083
12,4x_nauplii,180.6983,145.8427
13,4x_nauplii,202.7123,162.3533
14,4x_nauplii,162.3533,123.8287
15,4x_nauplii,169.6912,142.1738
16,4x_nauplii,193.5397,160.5188
17,4x_nauplii,197.2088,173.3603
18,4x_nauplii,184.3673,142.1738
19,4x_nauplii,158.6842,125.6633
20,4x_nauplii,171.5257,129.3322
21,4x_nauplii,151.3462,116.4908
22,4x_nauplii,153.1807,118.3252
23,4x_nauplii,151.3462,120.1598
1,unknown,211.8847,186.2018
1,4x_alona_abundance,254.0782,171.5257
1,4x_lepadella,112.8217,57.7867
2,4x_lepadella,145.8427,96.3113
1,4x_lepadella_abundance,103.6492,85.3042
2,4x_lepadella_abundance,133.0012,68.7938
1,4x_nauplii_abundance,158.6842,101.8148
2,4x_nauplii_abundance,191.7053,112.8217
3,4x_nauplii_abundance,235.7332,145.8427
4,4x_nauplii_abundance,235.7332,197.2088
5,4x_nauplii_abundance,186.2018,107.3183
6,4x_nauplii_abundance,239.4023,160.5188
7,4x_nauplii_abundance,189.8708,98.1458
8,4x_nauplii_abundance,166.0223,99.9802
9,4x_nauplii_abundance,138.5048,85.3042
10,4x_nauplii_abundance,200.8777,167.8568
11,4x_nauplii_abundance,153.1807,125.6633
12,4x_nauplii_abundance,145.8427,88.9733
13,4x_nauplii_abundance,210.0503,134.8357
14,4x_nauplii_abundance,151.3462,94.4767
15,4x_nauplii_abundance,173.3603,125.6633
16,4x_nauplii_abundance,173.3603,98.1458
17,4x_nauplii_abundance,206.3812,144.0083
18,4x_nauplii_abundance,123.8287,110.9873
19,4x_nauplii_abundance,193.5397,125.6633
20,4x_nauplii_abundance,230.2297,133.0012
21,4x_nauplii_abundance,153.1807,101.8148
22,4x_nauplii_abundance,211.8847,162.3533
23,4x_nauplii_abundance,140.3392,96.3113
24,4x_nauplii_abundance,173.3603,125.6633
25,4x_nauplii_abundance,144.0083,112.8217
26,4x_nauplii_abundance,145.8427,110.9873
27,4x_nauplii_abundance,149.5118,90.8077
28,4x_nauplii_abundance,177.0292,107.3183
29,4x_nauplii_abundance,127.4977,90.8077
30,4x_nauplii_abundance,189.8708,121.9943
31,4x_nauplii_abundance,235.7332,197.2088
32,4x_nauplii_abundance,411.8453,272.4232
33,4x_nauplii_abundance,233.8988,162.3533
34,4x_nauplii_abundance,265.0853,153.1807
35,4x_nauplii_abundance,153.1807,138.5048
36,4x_nauplii_abundance,160.5188,114.6563
37,4x_nauplii_abundance,155.0153,103.6492
38,4x_nauplii_abundance,125.6633,87.1388
39,4x_nauplii_abundance,145.8427,101.8148
40,4x_nauplii_abundance,155.0153,92.6423
41,4x_nauplii_abundance,175.1947,140.3392
42,4x_nauplii_abundance,217.3882,191.7053
43,4x_nauplii_abundance,177.0292,123.8287
44,4x_nauplii_abundance,147.6773,85.3042
45,4x_nauplii_abundance,217.3882,195.3742
46,4x_nauplii_abundance,144.0083,94.4767
47,4x_nauplii_abundance,228.3953,184.3673
48,4x_nauplii_abundance,180.6983,125.6633
49,4x_nauplii_abundance,123.8287,94.4767
50,4x_nauplii_abundance,167.8568,131.1668
51,4x_nauplii_abundance,155.0153,105.4838
52,4x_nauplii_abundance,199.0433,155.0153
53,4x_nauplii_abundance,191.7053,118.3252
54,4x_nauplii_abundance,156.8498,96.3113
55,4x_nauplii_abundance,153.1807,85.3042
56,4x_nauplii_abundance,167.8568,125.6633
57,4x_nauplii_abundance,155.0153,94.4767
58,4x_nauplii_abundance,169.6912,85.3042
59,4x_nauplii_abundance,230.2297,188.0362
60,4x_nauplii_abundance,815.4352,391.6658
61,4x_nauplii_abundance,136.6703,87.1388
62,4x_nauplii_abundance,131.1668,116.4908
