Particle ID,Class,Length,Width
1,4x_nauplii,244.9058,171.5257
2,4x_nauplii,197.2088,131.1668
3,4x_nauplii,232.0643,162.3533
4,4x_nauplii,228.3953,169.6912
5,4x_nauplii,235.7332,175.1947
6,4x_nauplii,221.0573,199.0433
1,4x_Chydorus,246.7403,191.7053
2,4x_Chydorus,331.1273,263.2507
1,unknown,221.0573,90.8077
1,4x_lepadella_abundance,99.9802,74.2973
1,4x_nauplii_abundance,171.5257,142.1738
2,4x_nauplii_abundance,217.3882,151.3462
3,4x_nauplii_abundance,257.7473,215.5538
4,4x_nauplii_abundance,224.7262,140.3392
5,4x_nauplii_abundance,156.8498,87.1388
6,4x_nauplii_abundance,184.3673,129.3322
7,4x_nauplii_abundance,173.3603,118.3252
8,4x_nauplii_abundance,123.8287,94.4767
9,4x_nauplii_abundance,158.6842,105.4838
10,4x_nauplii_abundance,224.7262,177.0292
11,4x_nauplii_abundance,162.3533,112.8217
12,4x_nauplii_abundance,173.3603,147.6773
13,4x_nauplii_abundance,145.8427,114.6563
14,4x_nauplii_abundance,274.2577,200.8777
