Particle ID,Class,Length,Width
1,4x_nauplii,169.6912,120.1598
2,4x_nauplii,138.5048,110.9873
3,4x_nauplii,171.5257,125.6633
4,4x_nauplii,166.0223,121.9943
5,4x_nauplii,147.6773,133.0012
1,4x_alona_abundance,171.5257,136.6703
1,4x_lepadella_abundance,105.4838,70.6282
2,4x_lepadella_abundance,110.9873,66.9592
3,4x_lepadella_abundance,90.8077,30.2692
4,4x_lepadella_abundance,87.1388,65.1248
5,4x_lepadella_abundance,99.9802,76.1317
1,4x_nauplii_abundance,303.6098,217.3882
2,4x_nauplii_abundance,252.2438,171.5257
3,4x_nauplii_abundance,184.3673,118.3252
4,4x_nauplii_abundance,134.8357,103.6492
5,4x_nauplii_abundance,332.9617,288.9337
6,4x_nauplii_abundance,232.0643,149.5118
7,4x_nauplii_abundance,204.5468,114.6563
8,4x_nauplii_abundance,635.6543,155.0153
9,4x_nauplii_abundance,180.6983,105.4838
10,4x_nauplii_abundance,199.0433,140.3392
11,4x_nauplii_abundance,384.3277,296.2717
12,4x_nauplii_abundance,243.0712,160.5188
13,4x_nauplii_abundance,399.0038,263.2507
14,4x_nauplii_abundance,314.6168,232.0643
