Particle ID,Class,Length,Width
1,4x_nauplii,149.5118,123.8287
2,4x_nauplii,173.3603,116.4908
3,4x_nauplii,173.3603,147.6773
4,4x_nauplii,177.0292,110.9873
5,4x_nauplii,147.6773,120.1598
6,4x_nauplii,166.0223,110.9873
7,4x_nauplii,164.1877,107.3183
8,4x_nauplii,153.1807,112.8217
9,4x_nauplii,134.8357,118.3252
10,4x_nauplii,158.6842,120.1598
11,4x_nauplii,164.1877,121.9943
12,4x_nauplii,222.8918,158.6842
13,4x_nauplii,252.2438,160.5188
1,4x_lepadella,147.6773,98.1458
2,4x_lepadella,134.8357,81.6352
3,4x_lepadella,109.1527,63.2903
4,4x_lepadella,131.1668,90.8077
5,4x_lepadella,147.6773,98.1458
1,4x_lepadella_abundance,175.1947,79.8008
2,4x_lepadella_abundance,105.4838,79.8008
1,4x_nauplii_abundance,177.0292,112.8217
2,4x_nauplii_abundance,167.8568,99.9802
3,4x_nauplii_abundance,140.3392,92.6423
4,4x_nauplii_abundance,193.5397,156.8498
5,4x_nauplii_abundance,153.1807,107.3183
6,4x_nauplii_abundance,160.5188,127.4977
7,4x_nauplii_abundance,151.3462,120.1598
8,4x_nauplii_abundance,151.3462,90.8077
9,4x_nauplii_abundance,156.8498,109.1527
10,4x_nauplii_abundance,523.7497,261.4162
11,4x_nauplii_abundance,125.6633,90.8077
12,4x_nauplii_abundance,151.3462,107.3183
13,4x_nauplii_abundance,169.6912,94.4767
14,4x_nauplii_abundance,158.6842,138.5048
15,4x_nauplii_abundance,158.6842,99.9802
16,4x_nauplii_abundance,153.1807,110.9873
17,4x_nauplii_abundance,153.1807,98.1458
18,4x_nauplii_abundance,160.5188,96.3113
19,4x_nauplii_abundance,166.0223,107.3183
20,4x_nauplii_abundance,200.8777,121.9943
21,4x_nauplii_abundance,208.2158,164.1877
22,4x_nauplii_abundance,127.4977,94.4767
23,4x_nauplii_abundance,109.1527,77.9663
24,4x_nauplii_abundance,129.3322,79.8008
1,4x_scapholeberis,455.8732,206.3812
1,4x_scapholeberis_abundance,387.9968,235.7332
