Particle ID,Class,Length,Width
1,4x_nauplii,204.5468,184.3673
1,4x_lepadella_abundance,88.9733,72.4627
2,4x_lepadella_abundance,94.4767,63.2903
3,4x_lepadella_abundance,98.1458,61.4558
4,4x_lepadella_abundance,105.4838,70.6282
5,4x_lepadella_abundance,85.3042,70.6282
1,4x_nauplii_abundance,243.0712,189.8708
2,4x_nauplii_abundance,211.8847,140.3392
1,4x_scapholeberis,422.8523,246.7403
2,4x_scapholeberis,488.8942,270.5888
1,4x_scapholeberis_abundance,507.2393,230.2297
2,4x_scapholeberis_abundance,505.4047,277.9268
