Particle ID,Class,Length,Width
1,4x_nauplii,239.4023,193.5397
2,4x_nauplii,281.5958,213.7192
1,4x_Chydorus,276.0922,224.7262
1,4x_lepadella_abundance,90.8077,70.6282
2,4x_lepadella_abundance,99.9802,66.9592
3,4x_lepadella_abundance,76.1317,59.6213
4,4x_lepadella_abundance,96.3113,68.7938
5,4x_lepadella_abundance,98.1458,59.6213
6,4x_lepadella_abundance,92.6423,54.1178
7,4x_lepadella_abundance,99.9802,70.6282
8,4x_lepadella_abundance,103.6492,55.9522
9,4x_lepadella_abundance,74.2973,54.1178
1,4x_nauplii_abundance,215.5538,166.0223
2,4x_nauplii_abundance,1057.5892,120.1598
3,4x_nauplii_abundance,246.7403,160.5188
4,4x_nauplii_abundance,164.1877,123.8287
5,4x_nauplii_abundance,138.5048,76.1317
6,4x_nauplii_abundance,178.8638,118.3252
7,4x_nauplii_abundance,147.6773,125.6633
8,4x_nauplii_abundance,153.1807,92.6423
9,4x_nauplii_abundance,153.1807,96.3113
10,4x_nauplii_abundance,171.5257,114.6563
11,4x_nauplii_abundance,136.6703,105.4838
12,4x_nauplii_abundance,156.8498,109.1527
13,4x_nauplii_abundance,259.5817,171.5257
14,4x_nauplii_abundance,145.8427,103.6492
1,4x_scapholeberis_abundance,441.1972,215.5538
2,4x_scapholeberis_abundance,452.2043,195.3742
