Particle ID,Class,Length,Width
1,4x_nauplii,189.8708,156.8498
2,4x_nauplii,162.3533,116.4908
1,4x_lepadella,101.8148,76.1317
2,4x_lepadella,107.3183,74.2973
3,4x_lepadella,110.9873,61.4558
1,4x_lepadella_abundance,81.6352,59.6213
2,4x_lepadella_abundance,81.6352,41.2762
3,4x_lepadella_abundance,81.6352,57.7867
1,4x_nauplii_abundance,283.4303,112.8217
2,4x_nauplii_abundance,144.0083,107.3183
3,4x_nauplii_abundance,158.6842,145.8427
4,4x_nauplii_abundance,288.9337,208.2158
5,4x_nauplii_abundance,142.1738,120.1598
6,4x_nauplii_abundance,120.1598,98.1458
7,4x_nauplii_abundance,153.1807,127.4977
8,4x_nauplii_abundance,145.8427,85.3042
9,4x_nauplii_abundance,288.9337,167.8568
10,4x_nauplii_abundance,158.6842,127.4977
11,4x_nauplii_abundance,171.5257,114.6563
