"Class","Length","Width","filename","date","lens","meso","block","treatment_n","nutrients.P1","pesticides.P1","nutrients.P2","pesticides.P2","Taxa"
"calanoida",737.424,577.1936,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","calanoida"
"daphnia",970.4864,446.096,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia",1935.5104,1090.6592,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia",959.5616,646.384,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia",1833.5456,981.4112,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia",2627.4144,1185.3408,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia",1480.3104,1010.544,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia",2117.5904,1298.2304,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia",1913.6608,1232.6816,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia",2459.9008,1349.2128,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia",2405.2768,1389.2704,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1491.2352,813.8976,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2172.2144,1473.0272,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2445.3344,1338.288,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",4754.1088,2397.9936,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2299.6704,1436.6112,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2026.5504,1465.744,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2609.2064,1360.1376,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2048.4,1185.3408,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1698.8064,1374.704,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2263.2544,1287.3056,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1971.9264,1360.1376,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",2314.2368,1629.616,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1782.5632,1072.4512,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
"daphnia_abun",1793.488,1239.9648,"s1_13_05_22_2x_cl_data.csv","13/05/2022","x2",1,1,6,"no","no","no","yes","daphnia"
